genus,species,common name,body mass (kg),log10 body mass,hr,units,hr1,log10hr,habitat,usable,order corrected,Source,,
Leptonychotes,weddellii,weddell seal,362,2.558708571,48,bpm,48,1.681241237,aquatic,yes,carnivora,"Mortola, 2015; Kooyman and Campbell, 1972; Zapol et al., 1979; Kooyman GL, 1985; Salwicka and Stonehouse, 2000; Fuse et al., 2012",Tables 1 and 2,
Loxodonta,africana,african elephant,2976.49087,3.473704555,38.84,bpm,38.84,1.589279221,land,yes,proboscidea,"Olivares, Kiley-Worthington, and Rendle Worthington, 2019; Mortola, 2015; Geddes LA, 2002; Merck, 2012; Honeyman, Pettifer, and Dyson",,
Macaca,mulatta,rhesus macaque,3.58,0.553883027,137,bpm,137,2.136720567,land,yes,primates,"Mortola, 2015; Fuller et al., 1996; Malinow et al., 1974",Tables 1 and 2,
Macaca,radiata,bonnet macaque,5,0.698970004,170,bpm,170,2.230448921,land,yes,primates,"Mortola, 2015; Reite and Short, 1986",Tables 1 and 2,
Macaca,nemestrina,pigtail macaque,6,0.77815125,174,bpm,174,2.240549248,land,yes,primates,"Mortola, 2015; Reite and Short, 1980",Tables 1 and 2,
Macaca,fascicularis,crab-eating macaque,5,0.698970004,179,bpm,179,2.252853031,land,yes,primates,"Mortola, 2015; Toback et al., 1978",Tables 1 and 2,
Madoqua,kirkii,dik-dik antelope,4.8,0.681241237,114,bpm,114,2.056904851,land,yes,artiodactyla,"Mortola, 2015; Kamau and Maloiy, 1982",Tables 1 and 2,
Marmota,caligata,hoary marmot,5.5,0.740362689,92,bpm,92,1.963787827,land,yes,rodentia,"Mortola, 2015; Folk et al., 2008",Tables 1 and 2,
Megaptera,novaeangliae,Humpback whale,29166.6667,4.464886799,24.7666667,bpm,24.7666667,1.39386756,aquatic,yes,artiodactyla,"Meijler 1992; Mortola, 2015; Wassenaar, 1993; Horton et al., 2019",,
Melursus,ursinus,sloth bear,90,1.954242509,56,bpm,56,1.748188027,land,yes,carnivora,"Mortola, 2015; Wassenaar, 1993","Tables 1 and 2, sedated",
