name,order,family,genus,species,mass,logmb,fr,logfr,habitat,adult,fasted,resting,tnz,nonrep,sedated
bottlenose dolphins,artiodactyla,Delphinidae,Tursiops,truncatus,197.67,2.295940762,4.05,0.607455023,aquatic,y,m,y,m,m,n
,,,,,,,,,,,,,,,
south-african fur seal,carnivora,Phocidae,Arctocephalus,pusillus,190,2.278753601,1.3,0.113943352,aquatic,y,n,y,m,y,n
,,,,,,,,,,,,,,,
gnu,artiodactyla,Bovidae,Connochaetes,taurinus,177,2.247973266,19,1.278753601,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
pare david's deer,artiodactyla,Cervidae,Elaphurus,davidianus,171,2.23299611,25,1.397940009,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
southern/patagonia sea lion,carnivora,Otariidae,Otaria,bryonia,147.46,2.16867423,4.65,0.667452953,aquatic,y,n,y,m,y,n
,,,,,,,,,,,,,,,
lion,carnivora,Felidae,Panthera,leo,145,2.161368002,17,1.230448921,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
llama,artiodactyla,Camelidae,Lama,glama,140,2.146128036,20,1.301029996,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
siberian tiger,carnivora,Felidae,Panthera,tigris,125,2.096910013,15,1.176091259,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
amazonian manatee,sirenia,Trichechidae,Trichechus,inunguis,100,2,0.75,-0.124938737,aquatic,y,n,y,m,m,n
,,,,,,,,,,,,,,,
antarctic fur seal,carnivora,Phocidae,Arctocephalus,gazella,100,2,4.7,0.672097858,aquatic,y,n,y,m,y,n
,,,,,,,,,,,,,,,
bighorn sheep,artiodactyla,Bovidae,Ovis,canadensis,98,1.991226076,33,1.51851394,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
addax,artiodactyla,Bovidae,Addax,nasomaculatus,92,1.963787827,26,1.414973348,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
caribou,artiodactyla,Cervidae,Rangifer,tarandus,92,1.963787827,40,1.602059991,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
mountain goat,artiodactyla,Bovidae,Oreamnos,americanus,88,1.944482672,58,1.763427994,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
tibetan bear/asian black bear,carnivora,Ursidae,Ursus,thibetanus,85,1.929418926,36,1.556302501,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
California Sea Lions,carnivora,Otariidae,Zalophus,californianus,78.6,1.895422546,6.1,0.785329835,aquatic,y,n,y,m,y,n
,,,,,,,,,,,,,,,
California Sea Lions,carnivora,Otariidae,Zalophus,californianus,77.2,1.8876173,6.5,0.812913357,aquatic,m,n,y,m,y,n
,,,,,,,,,,,,,,,
