name,order,family,genus,species,mass,logmb,fr,logfr,habitat,adult,fasted,resting,tnz,nonrep,sedated,Primary Source,Secondary Source (if used),Number of Animals,Notes
,,,,,,,,,,,,,,,,,,,
burchell's zebra,perissodactyla,Equidae,Equus,quagga,278,2.444044796,15,1.176091259,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,1,standing still
,,,,,,,,,,,,,,,,,,,
brown grizzly bear,carnivora,Ursidae,Ursus,arctos,274,2.437750563,15,1.176091259,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,1,lying down
,,,,,,,,,,,,,,,,,,,
muskox,artiodactyla,Bovidae,Ovibos,moschatus,265,2.423245874,53,1.72427587,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,4,lying down
,,,,,,,,,,,,,,,,,,,
manatee,sirenia,Trichechidae,Trichechus,manatus,250,2.397940009,0.7,-0.15490196,aquatic,y,n,y,m,y,n,Scholander and Irving 1941,"Mortola and Limoges, 2006",3,
,,,,,,,,,,,,,,,,,,,
okapi,artiodactyla,Giraffidae,Okapia,johnstoni,238,2.376576957,10,1,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,1,standing still
,,,,,,,,,,,,,,,,,,,
onager,perissodactyla,Equidae,Equus,hemionus,235,2.371067862,23,1.361727836,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,2,standing still
,,,,,,,,,,,,,,,,,,,
pygmy hippo,artiodactyla,Hippopotamidae,Choeropsis,liberiensis,217,2.336459734,3,0.477121255,land,y,n,y,m,y,n,"Mortola and Limoges, 2006",,3,"combination of in water and on land, 25 degrees celsius"
,,,,,,,,,,,,,,,,,,,
gorilla,primates,Pongidae,Gorilla,gorilla,217,2.336459734,17,1.230448921,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,1,seated
,,,,,,,,,,,,,,,,,,,
donkey,perissodactyla,Equidae,Equus,africanus,205,2.311753861,23,1.361727836,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,1,standing still
,,,,,,,,,,,,,,,,,,,
grey seal,carnivora,Phocidae,Halichoerus,grypus,200,2.301029996,3.3,0.51851394,aquatic,y,n,y,m,m,n,"Mortola and Limoges, 2006",,2,either on land or in water
,,,,,,,,,,,,,,,,,,,
scimitar oryx,artiodactyla,Bovidae,Oryx,dammah,200,2.301029996,21,1.322219295,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,2,lying down
,,,,,,,,,,,,,,,,,,,
bottlenose dolphins,artiodactyla,Delphinidae,Tursiops,truncatus,197.67,2.295940762,4.05,0.607455023,aquatic,y,m,y,m,m,n,"Fahlman et al., 2019",,39,
,,,,,,,,,,,,,,,,,,,
south-african fur seal,carnivora,Phocidae,Arctocephalus,pusillus,190,2.278753601,1.3,0.113943352,aquatic,y,n,y,m,y,n,"Mortola and Limoges, 2006",,1,"resting, on land"
,,,,,,,,,,,,,,,,,,,
gnu,artiodactyla,Bovidae,Connochaetes,taurinus,177,2.247973266,19,1.278753601,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,1,standing still
,,,,,,,,,,,,,,,,,,,
pare david's deer,artiodactyla,Cervidae,Elaphurus,davidianus,171,2.23299611,25,1.397940009,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,2,standing still
,,,,,,,,,,,,,,,,,,,
southern/patagonia sea lion,carnivora,Otariidae,Otaria,bryonia,147.46,2.16867423,4.65,0.667452953,aquatic,y,n,y,m,y,n,"Fahlman and Madigan, 2016",,5,measured on land
,,,,,,,,,,,,,,,,,,,
lion,carnivora,Felidae,Panthera,leo,145,2.161368002,17,1.230448921,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,2,lying down
,,,,,,,,,,,,,,,,,,,
llama,artiodactyla,Camelidae,Lama,glama,140,2.146128036,20,1.301029996,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,3+,
,,,,,,,,,,,,,,,,,,,
siberian tiger,carnivora,Felidae,Panthera,tigris,125,2.096910013,15,1.176091259,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,2,lying down
,,,,,,,,,,,,,,,,,,,
amazonian manatee,sirenia,Trichechidae,Trichechus,inunguis,100,2,0.75,-0.124938737,aquatic,y,n,y,m,m,n,"Gallivan et al., 1980","Mortola and Limoges, 2006",3,
,,,,,,,,,,,,,,,,,,,
antarctic fur seal,carnivora,Phocidae,Arctocephalus,gazella,100,2,4.7,0.672097858,aquatic,y,n,y,m,y,n,"Salwicka and Stonehouse, 2000",,18,
,,,,,,,,,,,,,,,,,,,
bighorn sheep,artiodactyla,Bovidae,Ovis,canadensis,98,1.991226076,33,1.51851394,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,3,lying down
,,,,,,,,,,,,,,,,,,,
addax,artiodactyla,Bovidae,Addax,nasomaculatus,92,1.963787827,26,1.414973348,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,2,lying down
,,,,,,,,,,,,,,,,,,,
caribou,artiodactyla,Cervidae,Rangifer,tarandus,92,1.963787827,40,1.602059991,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,2,lying down
,,,,,,,,,,,,,,,,,,,
mountain goat,artiodactyla,Bovidae,Oreamnos,americanus,88,1.944482672,58,1.763427994,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,1,lying down
,,,,,,,,,,,,,,,,,,,
tibetan bear/asian black bear,carnivora,Ursidae,Ursus,thibetanus,85,1.929418926,36,1.556302501,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,1,lying down
,,,,,,,,,,,,,,,,,,,
California Sea Lions,carnivora,Otariidae,Zalophus,californianus,77.9,1.891537458,6.3,0.799340549,aquatic,y,n,y,m,y,n,"McDonald and Ponganis, 2014; Fahlman et al Aquat Mam 2020",,5,in water and on land
