name,order,family,genus,species,mass,logmb,fh,logfh,habitat,adult,fasted,resting,tnz,nonrep,sedated,Primary Source,Secondary Source (if used),Number of Animals,Breathing Frequency from Same Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
false killer whale,artiodactyla,Delphinidae,Pseudorca,crassidens,520,2.716003344,59.4,1.773786445,aquatic,y,m,y,m,m,n,"Fahlman et al., 2020; Blawas et al., 2021",,1,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaur,artiodactyla,Bovidae,Bos,gaurus,520,2.716003344,53.5,1.728353782,land,y,n,y,m,m,n,"Thomas et al., 1996",,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camel,artiodactyla,Camelidae,Camelus,dromedarius,545,2.736396502,49,1.69019608,land,y,n,y,m,m,n,"Rezakhani and Szabuniewicz, 1977","Mortola, 2015",72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horse,perissodactyla,Equidae,Equus,caballus,592,2.772321707,44.7,1.650307523,land,y,n,y,y,n,n,"Evans et al., 1976","Mortola, 2015; Merck, 2012",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stellar sea lion,carnivora,Otariidae,Eumetopias,jubatus,800,2.903089987,86,1.934498451,aquatic,y,n,n,m,m,n,"Hindle et al., 2010","Mortola, 2015",3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asian buffalo,artiodactyla,Bovidae,Bubalus,arnee,810,2.908485019,42.95,1.632963168,land,y,n,y,m,m,n,"Lacuata Libo, 1983","Mortola, 2015",106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot whale,artiodactyla,Delphinidae,Globicephala,macrorhynchus,875,2.942008053,49.6,1.695481676,aquatic,y,n,y,m,m,n,"Bickett and Tift, 2019, Blawas et al., 2020",,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
walrus,carnivora,Odobenidae,Odobenus,rosmarus,963.679,2.983932395,36,1.556302501,aquatic,y,n,y,m,y,n,"Bertelsen, Acquarone, and Born 2006",,13,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beluga whale,artiodactyla,Monodontidae,Delphinapterus,leucas,1060.5,3.025510673,43.8,1.641474111,aquatic,y,n,y,m,m,n,"Bickett and Tift, 2019, Blawas et al., 2020",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
northern elephant seal,carnivora,Phocidae,Mirounga,angustirostris,1175,3.070037867,84,1.924279286,aquatic,y,n,y,m,y,n,"Le Boeuf et al., 2000","Mortola, 2015",3,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southern elephant seal,carnivora,Phocidae,Mirounga,leonina,1973,3.295127085,53,1.72427587,aquatic,y,n,y,m,m,n,"Salwicka and Stonehouse, 2000","Mortola, 2015",,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
killer whale/orca,artiodactyla,Delphinidae,Orcinus,orca,2620.665,3.418411509,45.35,1.656577291,aquatic,y,n,y,m,m,n,"Bickett and Tift, 2019, Blawas et al., 2020",,3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asian elephant,proboscidea,Elephantidae,Elephas,maximus,2710,3.432969291,39.8,1.599883072,land,y,n,y,m,m,n,"Honeyman, Pettifer, and Dyson",,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
