name,order,family,genus,species,mass,logmb,rmr,logrmr,habitat,notes,adult,fasted,resting,tnz,nonrep
ringed seal,carnivora,Phocidae,Pusa,hispida,28.38,1.453012391,1440,3.158362492,aquatic,some doubt of whether animal was non-reproductive,y,y,y,y,y
harbor porpoise,artiodactyla,Phocoenidae,Phocoena,phocoena,28.1,1.44870632,1513.728,3.180047844,aquatic,,n,y,y,m,y
eastern grey kangaroo,diprotodontia,Macropodidae,Macropus,giganteus,26.4,1.421603927,703.32,2.847152967,land,,y,y,y,m,y
capybara,rodentia,Caviidae,Hydrochoerus,hydrochaeris,26.39,1.42143939,791.29,2.898335677,land,,y,y,y,y,y
southern hairy-nosed wombat,diprotodontia,Vombatidae,Lasiorhinus,latifrons,25.25,1.402261382,310.53,2.492103563,land,,m,y,y,y,y
common wallaroo,diprotodontia,Macropodidae,Macropus,robustus,23.2224615,1.365908252,555.69,2.744832581,land,some doubt of whether animal was fully resting,m,y,y,y,y
roe deer,artiodactyla,Cervidae,Capreolus,capreolus,21.5,1.33243846,1027.76,3.011891711,land,some doubt of whether data was measured during thermoneutral conditions as well as if female was non-reproductive,y,y,m,y,y
collared peccary,artiodactyla,Tayassuidae,Pecari,tajacu,20.2142857,1.3056584,703.66,2.847362864,land,,m,y,y,y,m
sea otter,carnivora,Mustelidae,Enhydra,lutris,18,1.255272505,1555.2,3.191786248,aquatic,some doubt of whether animal was fully resting,m,y,y,y,y
goitered gazelle,artiodactyla,Bovidae,Gazella,subgutturosa,17.1,1.23299611,551.496,2.741542367,land,some doubt of whether animal was an adult,y,y,y,m,y
chacma baboon,primates,Cercopithecidae,Papio,ursinus,16.9,1.227886705,617.64,2.790735414,land,,y,y,y,y,y
indian pangolin,pholidota,Manidae,Manis,crassicaudata,15.91,1.20167018,148.92,2.172953028,land,,y,y,y,m,y
north american beaver,rodentia,Castoridae,Castor,canadensis,15.27,1.183839037,562.56,2.750168849,aquatic,some doubt of whether animal was an adult,y,y,y,y,m
binturong,carnivora,Viverridae,Arctictis,binturong,14.28,1.154728207,158.49,2.200001865,land,,y,y,y,y,y
wolverine/skunk bear/quickhatch,carnivora,Mustelidae,Gulo,gulo,12.7,1.103803721,683.28,2.834598709,land,,y,y,y,y,y
cape porcupine,rodentia,Hystricidae,Hystrix,africaeaustralis,11.3,1.053078443,263.55,2.420863021,land,,y,m,y,y,y
european badger,carnivora,Mustelidae,Meles,meles,11.05,1.043362278,358.08,2.553980065,land,,y,y,y,y,y
ocelot,carnivora,Felidae,Leopardus,pardalis,10.5,1.021189299,375.12,2.57417022,land,no comment was made on whether animal was in a postabsorptive state or nonreproductive,y,y,y,y,y
mantled guereza,primates,Colobinae,Colobus,guereza,10.48625,1.020620207,357.83,2.553676748,land,some doubt of whether animal was fully resting,y,y,y,y,y
western long-beaked echidna,monotremata,Tenrecidae,Zaglossus,bruijnii,10.3,1.012837225,145.8,2.163757524,land,,y,y,y,y,y
serval,carnivora,Felidae,Leptailurus,serval,10.1,1.004321374,376.508652,2.575774961,land,,y,y,y,y,y
eurasian otter,carnivora,Canidae,Lutra,lutra,10,1,540,2.73239376,aquatic,,m,y,y,m,m
coyote,carnivora,Mustelidae,Canis,latrans,10,1,322.44,2.508448912,land,,y,y,y,y,y
