genus,species,common name,body mass (kg),log10 body mass,vt,units,vtt,log10vt,habitat,usable,order corrected,Source
Equus,africanus,donkey,120,2.07918125,1790,ml,1790,3.25285303,land,yes,perissodactyla,"Amoroso, Scott, and Williams, 1963"
Equus,asinus equus caballus,mule,210,2.32221929,1675,ml,1675,3.22401481,land,yes,perissodactyla,"Amoroso, Scott, and Williams, 1963, used by Stahl"
Equus,caballus,horse,476,2.67760695,5826,ml,5826,3.76537048,land,yes,perissodactyla,"Amoroso, Scott, and Williams, 1963"
Homo,sapiens,human,67.7778,1.83108747,712.778,ml,712.778,2.85295429,land,yes,primates,"Hugh Jones 1978; Otis, Fenn, and Rahn 1950; Crosfill and Widdicombe, 1961"
Cavia,porcellus,domestic guinea pig,0.69,-0.1611509,3.7,ml,3.7,0.56820172,land,yes,rodentia,"Crosfill and Widdicombe, 1961"
Mus,musculus,mouse,0.025778,-1.5887508,0.156667,ml,0.156667,-0.8050225,land,yes,rodentia,"Drorbaugh, 1960; Crosfill and Widdicombe, 1961"
Rattus,norvegicus,rat,0.217462,-0.6626166,1,ml,1,0.13890871,land,yes,rodentia,"Drorbaugh, 1960; Crosfill and Widdicombe, 1961; used by Stahl"
Otaria,bryonia,Southern/Patagonia sea lion,157.5,2.19728056,4576.05271,ml,4576.05271,3.66049102,aquatic,yes,carnivora,"Fahlman and Madigan, Frontiers, 2016; Fahlman, Moore, and Garcia-Parrage, 2017"
Bos,taurus,cow,340,2.53147892,3280,ml,3280,3.51587384,land,yes,artiodactyla,"Amoroso, Scott, and Williams, 1963"
Capra,hircus,goat,13,1.11394335,332,ml,332,2.52113808,land,yes,artiodactyla,"Amoroso, Scott, and Williams, 1963"
Ovis,aries,sheep,52,1.71600334,376,ml,376,2.57518784,land,yes,artiodactyla,"Amoroso, Scott, and Williams, 1963"
Sus,scrofa,pig,17,1.23044892,309,ml,309,2.48995848,land,yes,artiodactyla,"Amoroso, Scott, and Williams, 1963"
